Name,Symbol,Price,1h price,24h price,7d price,30d price,Total volume 24h,Circulating supply,Total supply,Market cap
DDAO Hunters,DDAO,"US$0,02468545",-,-,-,-,-,"
      0
    ","
      21 Juta
    ",-
Cyborg Apes,BORG,"US$0,00072802",-,0.1%,-0.8%,-9.5%,"US$0,01983592","
      0
    ","
      33 Juta
    ",-
Bridged USD Coin (Wormhole Ethereum),USDCET,"US$1,01",0.1%,0.6%,0.6%,0.1%,US$1.315.345,"
      0
    ","
      -
    ",-
Bridged Tether (Wormhole Ethereum),USDTET,"US$1,01",0.1%,0.8%,0.8%,0.7%,US$162.160,"
      0
    ","
      -
    ",-
dYdX (Wormhole),DYDX,"US$1,89",0.1%,-1.1%,-4.7%,-14.8%,US$224,"
      0
    ","
      -
    ",-
Dogelon Mars (Wormhole),ELON,"US$0,000000167594",-,-,-,-,-,"
      0
    ","
      2,3 Miliar
    ",-
Akitavax,AKITAX,"US$0,00001560",1.9%,0.3%,-14.1%,-26.5%,US$24.643,"
      0
    ","
      9,8 Miliar
    ",-
Decentraland (Wormhole),MANA,"US$0,298938",1.6%,0.1%,-0.4%,-1.0%,US$104,"
      0
    ","
      299 Ribu
    ",-
Num ARS,NARS,"US$0,00203038",-,-,-,-,-,"
      0
    ","
      2 Miliar
    ",-
Wrapped CUSD (Allbridge from Celo),ACUSD,"US$0,999980",0.0%,-0.1%,-0.1%,-0.3%,"US$27,52","
      0
    ","
      10,7 Juta
    ",-
Bridged Tether (Allbridge),APUSDT,"US$0,962872",-,-,-,-,-,"
      0
    ","
      4,22 Juta
    ",-
Wrapped BUSD (Allbridge from BSC),ABBUSD,"US$1,00",-0.0%,-0.2%,0.0%,-0.1%,"US$68,05","
      0
    ","
      1,5 Juta
    ",-
PhotonSwap,PHOTON,"US$0,00014875",0.2%,-0.2%,2.2%,2.4%,"US$29,61","
      0
    ","
      -
    ",-
H2Finance,YFIH2,"US$0,259191",-0.0%,0.0%,0.9%,-13.7%,"US$0,073619","
      0
    ","
      25 Ribu
    ",-
3Share,3SHARE,"US$0,623614",-,-,-,-,-,"
      0
    ","
      60 Ribu
    ",-
Enegra,EGX,"US$196,55",0.1%,-0.2%,-1.6%,0.5%,US$1.750.229,"
      0
    ","
      85 Juta
    ",-
Scrap,SCRAP,"US$0,03301965",0.1%,-0.1%,-0.7%,-14.1%,"US$8,63","
      0
    ","
      5 Juta
    ",-
Physis,PHY,"US$0,01498815",-0.2%,-2.0%,-1.4%,-6.6%,US$1.048,"
      0
    ","
      3 Miliar
    ",-
Trendsy,TRNDZ,"US$0,000000030894",-,-,-,-,-,"
      0
    ","
      3,6 Triliun
    ",-
Dragon War,DRAW,"US$0,00009422",-,-,-,-,-,"
      0
    ","
      1,2 Miliar
    ",-
DexPad,DXP,"US$0,00050322",-,-,-,-,-,"
      0
    ","
      100 Juta
    ",-
eFin Decentralized,WEFIN,"US$0,00001691",2.2%,-35.1%,13.4%,-47.0%,US$77.449,"
      0
    ","
      10 Miliar
    ",-
Lucky Block,LBLOCK,"US$0,00003826",2.1%,-59.5%,-59.1%,-63.8%,US$80.734,"
      0
    ","
      100 Miliar
    ",-
Voice Street,VST,"US$0,00303680",0.7%,1.7%,7.1%,21.8%,US$17.711,"
      0
    ","
      2 Miliar
    ",-
Digital Financial Exchange,DIFX,"US$0,217110",0.0%,-0.2%,-3.8%,-11.7%,US$2.297.188,"
      0
    ","
      60 Juta
    ",-
metavisa,MESA,"US$0,00052442",0.5%,-3.1%,-13.7%,-23.9%,US$102.022,"
      0
    ","
      -
    ",-
Baby Lambo Inu,BLINU,"US$0,00033380",-,-,-,-,-,"
      0
    ","
      600 Juta
    ",-
cNETA,CNETA,"US$0,00340423",-0.1%,3.5%,-4.2%,-34.1%,US$3.527,"
      0
    ","
      1 Miliar
    ",-
Shredded Apes Whey,WHEY,"US$0,00092326",0.1%,-0.2%,-29.5%,199.0%,US$126,"
      0
    ","
      99,4 Juta
    ",-
MetaFighter,MF,"US$0,00024437",0.0%,2.4%,-9.7%,-12.5%,US$9.197,"
      0
    ","
      -
    ",-
Bridged USD Coin (Avalanche),USDC,"US$1,00",0.2%,0.4%,0.8%,-0.4%,US$1.373.409,"
      0
    ","
      1,47 Miliar
    ",-
Next Earth,NXTT,"US$0,00016918",0.0%,-2.4%,-10.4%,-22.5%,"US$82,88","
      0
    ","
      60 Miliar
    ",-
Rally (Solana),SRLY,"US$0,00615175",0.1%,-0.5%,-1.8%,-19.0%,"US$23,03","
      0
    ","
      5,63 Juta
    ",-
Binance Wrapped DOT,BDOT,"US$3,93",-0.2%,-1.0%,-2.3%,-7.6%,US$538.650,"
      0
    ","
      230 Ribu
    ",-
Colony Network,CLNY,"US$0,01906282",-,-,-,-,-,"
      0
    ","
      200 Juta
    ",-
ASIX,ASIX,"US$0,000000005390",0.0%,0.0%,0.0%,0.0%,"US$0,00","
      0
    ","
      10 Triliun
    ",-
MetaGaming Guild,MGG,"US$0,00152119",0.1%,-0.1%,4.7%,-4.5%,US$20.188,"
      0
    ","
      999 Juta
    ",-
Synesis One,SNS,"US$0,00226404",0.2%,-3.9%,-8.0%,-15.0%,US$146.975,"
      0
    ","
      1 Miliar
    ",-
XGLI DAO Protocol,XGLI,"US$0,00012412",-1.0%,-1.0%,-3.8%,202.5%,"US$0,00891700","
      0
    ","
      500 Juta
    ",-
Snowtomb LOT,SLOT,"US$0,403795",-,-,-,-,-,"
      0
    ","
      59,6 Ribu
    ",-
Snowtomb,STOMB,"US$0,051819",-,-,-,-,-,"
      0
    ","
      242 Ribu
    ",-
BlokPad,BPAD,"US$0,00045738",-,-,-,-,-,"
      0
    ","
      7,5 Miliar
    ",-
Valentine Floki,FLOV,"US$0,000000000048867",-,-,-,-,-,"
      0
    ","
      1 Quadriliun
    ",-
Unicorn Milk,UNIM,"US$0,00026872",-0.4%,3.4%,-14.7%,-36.4%,US$1.307,"
      0
    ","
      -
    ",-
AVIAN,AVN,"US$0,00003405",-0.0%,-0.1%,-12.8%,-16.3%,"US$66,37","
      0
    ","
      2,75 Miliar
    ",-
Grim EVO,GRIM EVO,"US$0,01057640",-,-,-,-,-,"
      0
    ","
      1 Juta
    ",-
CoinRadr,RADR,"US$0,00005913",0.0%,0.0%,-0.3%,0.3%,US$2.212,"
      0
    ","
      -
    ",-
VSolidus,VSOL,"US$0,00000501",0.0%,66.2%,153.7%,108.5%,US$111,"
      0
    ","
      9,51 Miliar
    ",-
DogeKing,DOGEKING,"US$0,000000003236",-2.0%,6.4%,-2.4%,2.9%,US$394.768,"
      0
    ","
      1 Quadriliun
    ",-
NETA,NETA,"US$10,55",0.0%,-9.1%,-26.8%,-10.3%,US$1.222,"
      0
    ","
      31,9 Ribu
    ",-
Monerium EUR emoney,EURE,"US$1,06",-0.9%,-0.6%,-0.9%,-2.1%,US$176.532,"
      0
    ","
      1,08 Juta
    ",-
Torekko,TRK,"US$0,00232248",-,-,-,-,-,"
      0
    ","
      100 Juta
    ",-
SporkDAO,SPORK,"US$0,00699749",0.6%,-2.2%,3.5%,15.8%,"US$2,31","
      0
    ","
      -
    ",-
EcoCREDIT,ECO,"US$0,00553901",-,-,-,-,-,"
      0
    ","
      100 Juta
    ",-
SunnySideUp,SSU,"US$0,00018883",-,-2.7%,-3.1%,-6.3%,"US$0,01907088","
      0
    ","
      994 Ribu
    ",-
Carb0n.fi,ZRO,"US$0,00072655",-,-,-,-,-,"
      0
    ","
      500 Juta
    ",-
Stripto,STRIP,"US$0,00000194",-,-,-,-,-,"
      0
    ","
      100 Miliar
    ",-
Teddy Doge,TEDDY,"US$0,000000000286040",5.0%,-9.2%,30.7%,30.7%,US$4.121,"
      0
    ","
      15 Miliar
    ",-
Fone,FONE,"US$0,000000811817",-2.8%,-5.9%,-16.7%,-23.5%,US$322,"
      0
    ","
      10 Miliar
    ",-
Isengard NFT Marketplace,ISET-84E55E,"US$0,00043091",0.0%,-0.8%,-6.6%,-13.4%,"US$0,970733","
      0
    ","
      500 Juta
    ",-
Invoker,IV,"US$0,000000416535",-,-,-,-,-,"
      0
    ","
      1,73 Juta
    ",-
Nesten,NIT,"US$0,00237526",-,-,-,-,-,"
      0
    ","
      -
    ",-
Magik,MAGIK,"US$0,01596960",-,-,-,-,-,"
      0
    ","
      939 Ribu
    ",-
artèQ NFT Investment Fund,ARTEQ,"US$0,00003307",10.0%,6.5%,-28.3%,-69.4%,US$22.498,"
      0
    ","
      10 Miliar
    ",-
Rubix,RBT,"US$59,38",0.3%,-0.3%,1.2%,-3.1%,US$126.715,"
      0
    ","
      6,16 Juta
    ",-
Dig Chain,DIG,"US$0,00014245",0.0%,-0.8%,-4.4%,4.3%,"US$0,050560","
      0
    ","
      -
    ",-
Nexus Dubai,NXD,"US$0,00007616",0.1%,-0.1%,11.4%,1.4%,US$72.218,"
      0
    ","
      50 Miliar
    ",-
QoWatt,QWT,"US$0,01022144",0.5%,6.5%,9.0%,12.2%,US$12.624,"
      0
    ","
      444 Juta
    ",-
HolyGrail,HLY,"US$0,00000194",0.2%,-2.5%,-1.8%,-12.0%,"US$2,98","
      0
    ","
      1,17 Miliar
    ",-
Ripae,PAE,"US$0,04044224",-,-,-,-,-,"
      0
    ","
      182 Ribu
    ",-
Prism Protocol,PRISM,"US$0,00023536",-5.2%,-9.7%,14.2%,-47.8%,US$2.970,"
      0
    ","
      1 Miliar
    ",-
PLC Ultima,PLCU,"US$135,53",-3.5%,3.4%,37.0%,-38.5%,US$58.863,"
      0
    ","
      569 Ribu
    ",-
Walter Inu,$WINU,"US$0,000000448706",-,-,-,-,-,"
      0
    ","
      100 Miliar
    ",-
The Reaper,RPR,"US$0,02305158",0.0%,15.0%,75.3%,285.1%,US$299,"
      0
    ","
      -
    ",-
4INT,4INT,"US$0,00289900",-,-,-2.5%,-3.8%,"US$1,81","
      0
    ","
      95,9 Juta
    ",-
High Roller Hippo Clique,ROLL,"US$0,00090539",-0.0%,-1.0%,-13.1%,-19.3%,"US$7,07","
      0
    ","
      77 Juta
    ",-
PeerMe SUPER,SUPER,"US$0,01424108",0.0%,-1.4%,-7.0%,-6.8%,US$301,"
      0
    ","
      10 Juta
    ",-
Nexum,NEXM,"US$0,01460268",0.0%,-11.1%,5.2%,23.1%,US$536,"
      0
    ","
      5 Miliar
    ",-
EarthByt,EBYT,"US$0,000000000945105",-0.0%,0.0%,-0.1%,0.0%,US$5.661,"
      0
    ","
      100 Triliun
    ",-
Felix,FLX,"US$0,000000481651",-,-,-,-,-,"
      0
    ","
      1 Triliun
    ",-
pFTM,PFTM,"US$0,00393620",-,-,-,-,-,"
      0
    ","
      36,6 Ribu
    ",-
Based Finance,BASED,"US$0,02336642",2.0%,1.6%,5.0%,33.6%,"US$41,51","
      0
    ","
      33,5 Ribu
    ",-
Paper,PAPER,"US$0,04040197",0.0%,4.8%,81.8%,57.3%,US$43.405,"
      0
    ","
      -
    ",-
Ink Fantom,INK,"US$0,747582",-0.1%,-7.3%,31.9%,1.1%,US$12.268,"
      0
    ","
      100 Ribu
    ",-
OSK,OSK,"US$3,77",-,-,-,-,-,"
      0
    ","
      10 Juta
    ",-
Restore Truth,RTT,"US$0,00001688",-,-,-,-,-,"
      0
    ","
      8,37 Miliar
    ",-
Zone,ZONE,"US$0,00107440",0.1%,-2.1%,-0.5%,5.4%,US$19.609,"
      0
    ","
      1 Miliar
    ",-
Heroes of NFT,HON,"US$0,00445188",1.0%,4.5%,-16.8%,-17.0%,US$3.635,"
      0
    ","
      200 Juta
    ",-
GNFT,GNFT,"US$2,12",0.3%,0.1%,-0.3%,15.0%,"US$9,21","
      0
    ","
      100 Ribu
    ",-
BASED Shares,BSHARE,"US$8,10",-,-,-,-,-,"
      0
    ","
      50 Ribu
    ",-
Heco-Peg XRP,XRP,"US$0,501859",-0.1%,0.2%,-2.3%,-5.2%,"US$72,21","
      0
    ","
      -
    ",-
AssangeDAO,JUSTICE,"US$0,00001847",-1.1%,1.2%,-4.6%,-21.9%,US$386.839,"
      0
    ","
      17,4 Miliar
    ",-
Plata Network,PLATA,"US$0,00030227",0.0%,-1.1%,0.8%,1.5%,"US$4,39","
      0
    ","
      314 Juta
    ",-
Sandwich Network,$SANDWICH,"US$0,00029566",0.1%,-1.0%,-19.0%,-12.9%,US$14.536,"
      0
    ","
      1 Miliar
    ",-
Hosky,HOSKY,"US$0,000000008736",-0.1%,-0.1%,-2.0%,-28.9%,US$9.435,"
      0
    ","
      -
    ",-
HodlAssets,HODL,"US$0,00321006",0.1%,1.3%,23.9%,25.7%,"US$1,14","
      0
    ","
      10 Juta
    ",-
LizardToken.Finance,LIZ,"US$0,00147561",-,-,-,-,-,"
      0
    ","
      51,4 Juta
    ",-
CatCoin Token,CATS,"US$0,000000000410919",0.3%,1.5%,-11.5%,-11.9%,US$34.664,"
      0
    ","
      1 Quadriliun
    ",-
DuckyDefi,DEGG,"US$0,00015249",-,-,-,-,-,"
      0
    ","
      8,43 Juta
    ",-
Wrapped Wan,WWAN,"US$0,186559",0.0%,-0.9%,0.0%,1.7%,US$122.875,"
      0
    ","
      -
    ",-
Bridged Tether (Wanchain),WANUSDT,"US$1,01",0.0%,-0.2%,-0.2%,0.1%,US$87.381,"
      0
    ","
      -
    ",-
Baby Lovely Inu,BLOVELY,"US$0,000000001102",1.9%,1.0%,2.8%,-14.0%,US$31.293,"
      0
    ","
      100 Triliun
    ",-
Bridged USD Coin (Wanchain),WANUSDC,"US$1,00",0.0%,0.0%,0.1%,0.0%,US$35.816,"
      0
    ","
      -
    ",-
Liqwid Finance,LQ,"US$1,61",0.2%,-1.1%,-6.6%,-41.0%,US$15.126,"
      0
    ","
      21 Juta
    ",-
SMG,SMG,"US$0,00002960",-,-,-,-,-,"
      0
    ","
      490 Juta
    ",-
wanETH,WANETH,"US$1.596,98",0.0%,0.2%,-4.0%,-4.4%,US$3.905,"
      0
    ","
      -
    ",-
wanBTC,WANBTC,"US$26.399,90",0.5%,-0.3%,-3.1%,1.0%,US$13.556,"
      0
    ","
      -
    ",-
wanXRP,WANXRP,"US$0,502990",0.0%,-0.7%,-1.8%,-3.0%,US$52.717,"
      0
    ","
      -
    ",-
Seeded Network,SEEDED,"US$0,00045885",-,-0.1%,-1.7%,-5.0%,"US$12,54","
      0
    ","
      50 Juta
    ",-
Heco-Peg Binance Coin,BNB,"US$209,72",0.5%,1.2%,-2.1%,-3.4%,US$111,"
      0
    ","
      170 Juta
    ",-
DogeLumens,DXLM,"US$0,00005164",-0.6%,-3.6%,-3.6%,-13.4%,US$970,"
      0
    ","
      -
    ",-
PhotoChromic,PHCR,"US$0,00000645",-0.2%,-6.4%,70.0%,1.3%,US$37.440,"
      0
    ","
      15 Miliar
    ",-
Pooch,POOCH,"US$0,00001541",-,-,-,-,-,"
      0
    ","
      1 Miliar
    ",-
UNLOCK,UNLOCK,"US$0,00702838",-,-0.7%,-1.2%,-16.4%,"US$3,41","
      0
    ","
      2,18 Juta
    ",-
Quartz,QTZ,"US$0,00067250",0.0%,-0.3%,-1.5%,-22.2%,"US$49,94","
      0
    ","
      -
    ",-
Polaris Finance Polar,POLAR,"US$0,098271",-0.2%,-0.4%,-9.7%,-9.9%,"US$10,08","
      0
    ","
      15 Ribu
    ",-
iCommunity,ICOM,"US$0,00824363",-,-,-,-,-,"
      0
    ","
      100 Juta
    ",-
Probinex,PBX,"US$0,187226",1.1%,1.1%,11.3%,62.9%,US$927.612,"
      0
    ","
      1 Miliar
    ",-
CelsiusX Wrapped ETH,CXETH,"US$118,69",-,-,-,-,-,"
      0
    ","
      634
    ",-
Wrapped Moonbeam,WGLMR,"US$0,231316",1.0%,-6.8%,36.6%,16.2%,US$1.109.206,"
      0
    ","
      -
    ",-
Doge Protocol,DOGEP,"US$0,000000014526",-0.4%,-51.7%,-51.9%,-51.2%,US$13.098,"
      0
    ","
      99,7 Triliun
    ",-
Lucidao,LCD,"US$0,00481946",-0.1%,-2.7%,-8.8%,-17.1%,US$1.683,"
      0
    ","
      880 Juta
    ",-
Layer2DAO,L2DAO,"US$0,00105493",0.0%,2.5%,-0.2%,1.3%,US$159,"
      0
    ","
      1 Miliar
    ",-
DigiMetaverse,DGMV,"US$0,00268392",-,-,-,-,-,"
      0
    ","
      1 Miliar
    ",-
King Dog Inu,KINGDOG,"US$0,00000511",-0.2%,-0.0%,-0.3%,-0.2%,"US$2,10","
      0
    ","
      1 Miliar
    ",-
DChess King,KING,"US$0,00091680",-,-,-,-,-,"
      0
    ","
      24,1 Juta
    ",-
Starly,STARLY,"US$0,00264246",3.2%,-2.8%,-4.9%,-15.6%,US$36.921,"
      0
    ","
      76,2 Juta
    ",-
Artemis Vision,ARV,"US$0,00894431",0.6%,0.9%,0.2%,-10.7%,US$36.766,"
      0
    ","
      5,17 Juta
    ",-
PlatinX,PTX,"US$0,00351868",0.0%,2.7%,-22.4%,-36.1%,US$75.784,"
      0
    ","
      5,11 Miliar
    ",-
Bored Ape Social Club,BAPE,"US$0,00021146",-,-,-,-,-,"
      0
    ","
      31,2 Juta
    ",-
ShibaNFT,SHIBANFT,"US$0,000000000105300",0.0%,-37.1%,-34.4%,-52.2%,"US$29,06","
      0
    ","
      900 Triliun
    ",-
coreDAO,COREDAO,"US$1,02",-0.0%,-0.5%,-1.1%,2.1%,"US$64,61","
      0
    ","
      24,7 Juta
    ",-
BattleVerse,BVC,"US$0,00040170",0.2%,0.1%,-2.7%,-13.6%,US$44.885,"
      0
    ","
      1 Miliar
    ",-
FoodChain Global,FOOD,"US$0,163779",0.7%,0.4%,3.3%,40.6%,US$697.121,"
      0
    ","
      218 Juta
    ",-
WFDP,WFDP,"US$9,83",-3.9%,-0.0%,-0.0%,-3.8%,US$10.014,"
      0
    ","
      100 Juta
    ",-
Metan Evolutions,METAN,"US$0,00397890",-0.2%,-3.6%,-1.8%,-1.6%,US$17.187,"
      0
    ","
      100 Juta
    ",-
CoinWealth,CNW,"US$0,00013238",-0.0%,-0.2%,0.0%,9.0%,"US$1,19","
      0
    ","
      13 Miliar
    ",-
Choice Coin,CHOICE,"US$0,00003758",-0.5%,-0.5%,3.3%,121.0%,"US$0,721594","
      0
    ","
      1 Miliar
    ",-
Pizza Game,PIZZA,"US$0,00003557",0.4%,0.2%,-3.3%,-14.6%,"US$16,12","
      0
    ","
      119 Juta
    ",-
Doge-1 Mission to the moon,DOGE-1,"US$0,000000049031",-4.4%,-9.0%,-35.9%,202.9%,US$4.704,"
      0
    ","
      10 Triliun
    ",-
Baklava,BAVA,"US$0,04971989",0.4%,-1.6%,-3.3%,-5.4%,US$30.650,"
      0
    ","
      666 Juta
    ",-
Marshall Inu,MRI,"US$0,00004199",-,-,-,-,-,"
      0
    ","
      1 Miliar
    ",-
NFT11,NFT11,"US$0,065703",0.1%,0.1%,-0.3%,-3.7%,"US$6,04","
      0
    ","
      125 Juta
    ",-
GoldPesa Option,GPO,"US$0,839171",0.3%,-5.5%,1.4%,-43.8%,US$649.317,"
      0
    ","
      100 Juta
    ",-
Pochi Inu,POCHI,"US$0,00000286",-,-,-,-,-,"
      0
    ","
      100 Miliar
    ",-
Mavaverse,MVX,"US$0,000000297659",-,-,-,-,-,"
      0
    ","
      7 Triliun
    ",-
Metabolic,MTBC,"US$0,00000181",-,-,-,-,-,"
      0
    ","
      10 Miliar
    ",-
Ark Rivals,ARKN,"US$0,00052811",0.4%,-3.8%,-11.6%,-29.9%,US$554.486,"
      0
    ","
      1 Miliar
    ",-
Tap Fantasy,TAP,"US$0,00288244",0.2%,-0.3%,-5.7%,-10.8%,US$351.715,"
      0
    ","
      45 Juta
    ",-
IndiGG,INDI,"US$0,01606306",1.0%,1.6%,5.1%,14.9%,US$25.898,"
      0
    ","
      1 Miliar
    ",-
HelpSeed,HELPS,"US$0,00000103",-8.8%,-25.9%,-18.3%,-47.1%,US$5.324,"
      0
    ","
      1 Triliun
    ",-
Cloudname,CNAME,"US$0,00016938",0.1%,0.6%,-5.1%,-16.7%,US$10.012,"
      0
    ","
      379 Juta
    ",-
Ash Token,ASH,"US$0,000000407327",-0.1%,0.7%,-1.0%,-33.1%,"US$51,40","
      0
    ","
      10 Triliun
    ",-
Mobist,MITX,"US$0,00032413",0.1%,1.7%,-25.7%,-3.9%,"US$62,19","
      0
    ","
      10 Miliar
    ",-
Terareum [OLD],TERA,"US$0,000000000298267",0.1%,0.0%,-0.7%,477.6%,"US$5,00","
      0
    ","
      100 Quadriliun
    ",-
Tourist Shiba Inu,TOURISTS,"US$0,000000000487731",0.0%,0.2%,-0.1%,0.0%,US$181,"
      0
    ","
      100 Triliun
    ",-
Pirate x Pirate,PXP,"US$0,00006055",-,0.1%,-5.7%,-20.0%,US$176,"
      0
    ","
      1 Miliar
    ",-
Athenas,ATHENASV2,"US$0,00435976",-0.2%,1.0%,-2.5%,-11.1%,US$39.180,"
      0
    ","
      100 Juta
    ",-
Ixirswap,IXIR,"US$0,00140819",-,-,-,-,-,"
      0
    ","
      100 Juta
    ",-
Milo Inu,MILO,"US$0,000000004060",-0.2%,-0.5%,-3.7%,-7.1%,US$429.389,"
      0
    ","
      690 Triliun
    ",-
kang3n,KANG3N,"US$0,00622247",-0.2%,1.0%,-2.6%,-3.1%,US$12.674,"
      0
    ","
      -
    ",-
Wrapped Velas,WVLX,"US$0,00743662",-0.1%,-5.1%,-18.1%,-2.8%,US$18.321,"
      0
    ","
      -
    ",-
RankerDao,RANKER,"US$0,00106922",0.2%,-1.7%,-11.5%,-28.1%,US$316.383,"
      0
    ","
      300 Juta
    ",-
Qitcoin,QTC,"US$0,237362",0.2%,12.3%,11.9%,8.5%,US$52.134,"
      0
    ","
      -
    ",-
MetaRim,RIM,"US$0,00007529",-0.5%,1.9%,7.6%,1.0%,US$19.985,"
      0
    ","
      1 Miliar
    ",-
CheersLand,CHEERS,"US$0,00394592",-,-,-,-,-,"
      0
    ","
      100 Juta
    ",-
Positron,POT,"US$0,00009632",-,-0.8%,0.7%,-6.3%,"US$0,215516","
      0
    ","
      600 Juta
    ",-
ChorusX,CX1,"US$0,00001352",-,-,-,-,-,"
      0
    ","
      25 Miliar
    ",-
Neopin,NPT,"US$0,280633",0.3%,-0.6%,-6.1%,-29.0%,US$312.646,"
      0
    ","
      1 Miliar
    ",-
Wrapped Syscoin,WSYS,"US$0,573700",-0.9%,559.5%,-3.8%,588.6%,US$3.353,"
      0
    ","
      352 Ribu
    ",-
Krill,KRILL,"US$0,00012421",-,0.2%,-0.1%,-0.7%,"US$0,050626","
      0
    ","
      69,7 Juta
    ",-
WOLFCOIN,WOLF,"US$0,00077285",-,-,-,-,-,"
      0
    ","
      -
    ",-
Faith Tribe,FTRB,"US$0,00502992",0.7%,0.1%,0.6%,6.8%,US$388.932,"
      0
    ","
      5 Miliar
    ",-
cSUSHI,CSUSHI,"US$0,01206096",-0.3%,-1.1%,-6.3%,-1.9%,"US$0,00","
      0
    ","
      28,3 Ribu
    ",-
GoCryptoMe,GCME,"US$0,00084188",0.0%,71.9%,37.7%,-14.2%,"US$0,04168167","
      0
    ","
      100 Juta
    ",-
Wrapped Telos,WTLOS,"US$0,068088",-0.0%,6.1%,7.4%,-30.7%,US$30.610,"
      0
    ","
      -
    ",-
Shiba Inu Mother,SHIBM,"US$0,000000000347177",-,-,-,-,-,"
      0
    ","
      -
    ",-
Libero Financial,LIBERO,"US$0,00000271",0.0%,24.5%,70.9%,35.8%,"US$0,00619167","
      0
    ","
      426 Miliar
    ",-
Wrapped Star,WSTR,"US$2.307,42",-,-,-,-,-,"
      0
    ","
      1,06 Ribu
    ",-
Orkan,ORK,"US$0,100322",-,-,-,-,-,"
      0
    ","
      166 Ribu
    ",-
Endless Board Game,ENG,"US$0,00101335",-1.0%,-1.0%,-2.9%,-3.8%,US$3.147,"
      0
    ","
      100 Juta
    ",-
DarkMatter,DMT,"US$0,00175924",0.0%,8.3%,-21.0%,-47.8%,US$430,"
      0
    ","
      10,8 Juta
    ",-
ACEToken,ACE,"US$0,000000523075",-,-,-,-,-,"
      0
    ","
      -
    ",-
SOLIDsex: Tokenized veSOLID,SOLIDSEX,"US$0,00118542",-,-,-,-,-,"
      0
    ","
      18,3 Juta
    ",-
Kyberdyne,KBD,"US$0,00101430",2.7%,15.3%,-3.3%,-7.7%,US$446.736,"
      0
    ","
      500 Juta
    ",-
Crypto Volatility,CVI,"US$41,08",0.6%,3.1%,-4.3%,1.9%,US$242,"
      0
    ","
      7,3
    ",-
Signed,SIGN,"US$0,052718",-,-,-,-,-,"
      0
    ","
      1 Juta
    ",-
Lets Go Brandon,LETSGO,"US$0,000000002882",-,-,-,-,-,"
      0
    ","
      330 Triliun
    ",-
Ginoa,GINOA,"US$0,075870",0.1%,-16.2%,-32.6%,45.1%,US$26.645,"
      0
    ","
      5 Juta
    ",-
YASHA,YASHA,"US$0,00000292",-,-,-,-,-,"
      0
    ","
      100 Miliar
    ",-
Fountain Protocol,FTP,"US$0,00009219",-,-,-,-,-,"
      0
    ","
      1 Miliar
    ",-
Marble Dao,$MARBLE,"US$0,654835",-,-,-,-,-,"
      0
    ","
      -
    ",-
Wrapped Flow,WFLOW,"US$0,436768",-,-0.5%,-3.2%,-3.4%,"US$59,97","
      0
    ","
      950 Ribu
    ",-
Alpha Capital,ACAP,"US$0,00014400",-,-,-,-,-,"
      0
    ","
      -
    ",-
Fuse Dollar,FUSD,"US$0,994827",0.0%,0.4%,0.3%,1.3%,US$139,"
      0
    ","
      -
    ",-
The Xenobots Project,XENO,"US$0,00000407",-,-,-,-,-,"
      0
    ","
      38 Juta
    ",-
Orbler,ORBR,"US$0,272534",0.2%,-0.3%,-3.0%,-0.8%,US$185.625,"
      0
    ","
      2 Miliar
    ",-
Era7,ERA,"US$0,00300321",-0.0%,-6.3%,-20.4%,-84.2%,"US$0,00070786","
      0
    ","
      442 Juta
    ",-
Zyrri,ZYR,"US$0,00355196",-,-,-,-,-,"
      0
    ","
      -
    ",-
Astra Protocol,ASTRA,"US$0,00280533",-1.7%,-10.3%,36.4%,-46.0%,US$4.500.433,"
      0
    ","
      1 Miliar
    ",-
Xave Coin,XVC,"US$0,00016456",-,-0.0%,-13.7%,-13.6%,"US$1,10","
      0
    ","
      5 Miliar
    ",-
Grave,GRVE,"US$0,00579583",0.3%,-0.7%,-15.4%,-27.1%,"US$44,60","
      0
    ","
      46 Juta
    ",-
DeltaFi,DELFI,"US$0,00032039",-0.0%,-11.4%,-12.6%,-43.9%,US$13.200,"
      0
    ","
      1 Miliar
    ",-
Forus,FORS,"US$0,00001242",-0.0%,40.4%,-11.4%,-21.2%,"US$83,04","
      0
    ","
      10 Miliar
    ",-
Gateway Protocol,GWP,"US$0,965160",0.0%,39.5%,43.5%,-40.4%,US$76.291,"
      0
    ","
      3 Miliar
    ",-
wLitiDAO,WLD,"US$0,00606238",0.0%,0.4%,-0.2%,-0.5%,US$527,"
      0
    ","
      1,92 Miliar
    ",-
Fantom Bomb,BOMB,"US$0,00332714",0.2%,2.2%,-8.5%,-19.6%,US$12.063,"
      0
    ","
      -
    ",-
meishu,MEISHU,"US$0,00011939",-,-,-,-,-,"
      0
    ","
      777 Juta
    ",-
Finance Blocks,FBX,"US$0,00064344",3.6%,-5.6%,29.6%,224.4%,US$69.475,"
      0
    ","
      1 Miliar
    ",-
Hydraverse,HDV,"US$0,00022584",-0.4%,-5.2%,7.3%,-1.7%,US$20.230,"
      0
    ","
      500 Juta
    ",-
Final Frontier,FRNT,"US$0,00023863",0.1%,0.1%,-0.3%,-1.6%,"US$0,01998661","
      0
    ","
      1 Miliar
    ",-
CROWD,CWD,"US$0,00001987",-,-,-,-,-,"
      0
    ","
      2,5 Miliar
    ",-
